Ingredients,Rate,Category,Information
antioxidant,BEST,Antioxidants,"General term for a large group of natural and synthetic ingredients that work to defend against environmental stress on skin. For much more information on antioxidants and how they work, click here."
apple fruit extract,BEST,Antioxidants,"General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically. There is more research concerning the health benefits of eating apples rather than applying them topically via skincare products, but we know that apples have many valuable components that could benefit skin (Sources: Plant Physiology & Biochemistry, September 2014, pages 169-188; and Journal of Medicinal Food, November 2012, pages 1,024-1,031).
References for this information:
Plant Physiology & Biochemistry, September 2014, volume 82, pages 169-188
Journal of Medicinal Food, November 2012, issue 11, pages 1024-1031"
apricot kernel,AVERAGE,Scrub Agents,"Often used as an abrasive agent in so-called ""natural"" scrubs. Apricot kernals have irregular and sometimes sharp edges that can scratch or tear at skin. These types of scrubs are not recommended over a cotton washcloth or scrubs that contain rounded jojoba or polyethylene (plastic) beads."
apricot kernel oil,BEST,Plant Extracts,"Emollient plant oil pressed from the seeds of apricots, and similar to other non-fragrant plant oils in terms of its emollient, skin-smoothing, and antioxidant benefit."
arachidic acid,GOOD,Texture Enhancer,Derived from peanut oil and used as an emollient and thickening agent in cosmetics.
arachidyl alcohol,GOOD,Texture Enhancer,Waxy substance used as a thickening agent and emollient in cosmetics.
arachidyl glucoside,GOOD,Cleansing Agents,"A mild surfactant (cleansing) and emulsifying agent, made from the condensation of arachidyl alcohol and glucose."
arachidyl propionate,GOOD,Texture Enhancer,Waxy substance used as a thickening agent and emollient in cosmetics.
Arachis hypogaea extract,BEST,Skin-Soothing,Extract of the plant commonly known as the peanut. It can have emollient and skin-soothing properties for skin.
arbutin,BEST,Plant Extracts,"Arbutin may be made synthetically or derived from bearberry (uva-ursi) plant or other plants and exhibits antioxidant activity. Most notably, arbutin has an increasing amount of research attesting to its effectiveness for brightening an uneven skin tone. Research has shown the synthetic version, chemically known as deoxyarbutin, is more effective for brightening than the natural derivative.
Because arbutin works by breaking down into hydroquinone, it also has merit for improving the appearance of dark spots due to unprotected sun exposure or bodily changes such as can occur during pregnancy or due to other factors. It can be considered an alternative to hydroquinone for those whose skin may be unable to tolerate this lightening ingredient in much the same way that some people’s skin can tolerate cosmetic retinol but not retinoids from the pharmacy.
References for this information:
Phytochemistry Letters, September 2015, issue 13, pages 35-40
BMC Biochemistry, October 2014, pages 15-23
Dermatologica Sinica, July 2014, pages 205-210
Applied Microbiol Biotechnology, 2012, pages 1417–1425
Archives of Pharmacal Research, March 2009, pages 1308-1309
Experimental Dermatology, August 2005, pages 601-608"
Arctium lappa,BEST,Skin-Soothing,none
Arctium majus,BEST,Plant Extracts,none
Arctostaphylos uva ursi leaf,BEST,Antioxidants,none
Argania spinosa,BEST,Antioxidants,none
argan oil,BEST,Antioxidants,"Non-fragrant plant oil expressed from the kernels of argan trees. Argan oil contains several beneficial lipids and fatty acids for skin, including oleic acid, palmitic acid, and, especially, linoleic acid. It is also a good source of antioxidant vitamin E (tocopherol) and, like several other plant oils, a source of other antioxidant compounds.
Despite the hype, argan oil isn’t a miraculous ingredient by any stretch of the imagination. It’s merely a good, emollient, non-fragrant plant oil. It’s a consideration if skin or hair is dry to very dry, but is not necessarily any better than many other non-fragrant plant oils used in cosmetics. As with any plant oil, those with oily skin should think twice before applying it full strength as doing so will make skin look and feel greasy.
References for this information:
The Journal of Pharmacy and Pharmacology, December 2010, issue 12, pages 1669-1675
Journal of Cosmetic Dermatology, June 2007, issue 2, pages 113-118
Clinical Nutrition, October 2004, issue 5, pages 1159-1166
Journal of Ethnopharmacology, October 1999, issue 1, pages 7-14"
arginine,GOOD,Antioxidants,"An amino acid considered essential to human development. It has antioxidant properties.
Reference for this information:
Wound Repair and Regeneration, November-December 2003, pages 419-423"
Argireline,AVERAGE,Skin-Restoring,none
arnica extract,POOR,Plant Extracts,"Extract or oil obtained from the flowering plant Arnica montana. There is research showing that when arnica is taken orally before surgery it soothes sensitivity. However, in high amounts it is a risk for skin sensitivity."
aroma/flavor,AVERAGE,Fragrance: Synthetic and Fragrant Plant Extracts,"Seeing “aroma/flavor” on an ingredient list can be either good or bad. For example, if the aroma or flavor comes from mint or citrus, it can be sensitizing. But if the source is something more innocuous, like vanilla, then it shouldn’t pose a risk.
According to the Personal Care Product Council’s Ingredient Database, “Aroma is a term for ingredient labeling used to identify that a product contains a material or combination of materials normally added to a cosmetic to produce or to mask a particular flavor.” The point to be aware of is what kind of flavor your lips (or skin) are being exposed to—and whether or not the exposure poses a risk of sensitivity. Last, be aware that highly flavored lip products can encourage lip-licking—after all, such products do tend to taste good—but they shouldn’t be eaten, and licking your lips too often can cause or worsen dry lips."
arrowroot,AVERAGE,Texture Enhancer,Thickening agent; it has no known benefit for skin.
artemia extract,GOOD,Antioxidants,none
Artemisia absinthium extract,AVERAGE,Plant Extracts,none
Artemisia vulgaris,AVERAGE,Plant Extracts,none
Ascophyllum nodosum,GOOD,Antioxidants,Species of seaweed.
ascorbic acid,BEST,Antioxidants,"Ascorbic acid—also known as L-ascorbic acid—has the most research of any form of vitamin C when it comes to benefits for skin. It is a potent antioxidant and skin-soothing agent that can improve the appearance of signs of aging.
Ascorbic acid is also a powerhouse when mixed with other antioxidants, or when used alone in higher concentrations, such as 15% or 20% or greater, amounts that can be great for evening out skin tone.
A particularly vulnerable antioxidant when exposed to UV light and air, ascorbic acid must be packaged to protect it from these elements during routine use, or its effectiveness will gradually become diminished to the point of not working at all (you will see this as oxidized discoloration, meaning the product turns a copper to brownish color). For this reason, avoid any vitamin C (ascorbic acid) products packaged in jars.
What about using vitamin C (ascorbic acid) and niacinamide in the same product or applied at the same time in separate products? 
You might have read or heard that niacinamide and vitamin C shouldn’t be used at the same time, whether found together in the same product or applied separately one after the other. Rest assured, this combination is fine and is in fact quite beneficial! 
The research this misconception is based on was conducted in the 1960s; the forms of niacinamide and vitamin C used in this study were not stabilized—although niacinamide itself is very stable. The base of the formula used in this study was also far different than today’s sophisticated skincare formulas.  Today, cosmetic chemists know how to combine niacinamide and vitamin C in the ideal base formulas that enhance their compatibility. 
The other common concern we’ve seen about combining these two ingredients has to do with the pH range. The concern is that the acidic environment ascorbic acid needs to be most effective will cause niacinamide will convert to nicotinic acid, a form that can be sensitizing, possibly inducing redness. Good news: This conversion process would only happen under conditions of the formula being exposed to very high heat for a long period of time. This would not apply to layering skincare products or to heat conditions that occur during manufacturing, transport, and storage of cosmetic products that contain niacinamide and ascorbic acid.
  
What all of this means is that you can use or layer products containing both niacinamide and vitamin C knowing that they will not render each other any less effective. Each of these ingredients on its own can help to address dark spots, uneven skin tone, wrinkles, loss of firmness, and dullness. When used together, they become even more of a powerhouse! This duo will help give you an even better chance at achieving a radiant, smooth, even, younger-looking complexion.
References for this information:
Journal of Drugs in Dermatology, January 2012, issue 1, pages 51-56
AAPS PharmSciTech, September 2011, issue 3, pages 917-923
Journal of the American Academy of Dermatology, September 2008, issue 3, pages 418-425
Dermatologic Surgery, July 2005, issue 7, part 2, pages 814-817
Dermatologic Surgery, February 2001, issue 2, pages 137-142"
